review,sentiment
"Hello Sara, I apologize for having not contacted you. I was sick the past week and schoolwork kicked up as expected after the first month. I'm enjoying the program, even if I haven't been entirely attentive to it. The last exercise involving diaphragmatic breathing is coincidental also something I have been doing a lot in my speech class. The program as a whole is working well the class funnily enough.",mixed
"Well, I have been experiencing enough of low level of depression/anxiety over the past year to consider bring it to a source outside of my typically support group. Between that and enough self-reflection ending in,""maybe I should go back to therapy?......eh"", I decided to start seeking sources and I came upon lantern. I won't bore you with all my secrets now, but if I feel the need to disclose them, I will easily.",mixed
"Hi Sara, I'm doing well. I think it would be best to end my participation in the program as I haven't been able to remain on track with it. I feel as if I did not do the best on my end to keep up with the beta testing and even when I did, I found web-based therapy was not organic to me. Other than that, I thank you and Lantern for your time.",negative
"opps i didnt answer your Q. Yes, wondering why i exist & what for are Qs that often pop into my head the last 7 years. wat a waste of 7 years i think. nothing concrete has come out of it. some minor resolutions made, true. but no major revelation",negative
Hi coach! I'm really excited to get going with HBI!,positive
Sure! Didn't expect you to answer right away;) Glad that this works though!,positive
I have struggled with binge/purging on and off. It'll be very present for a few months and then it won't be so much. But I'm always concerned about what I eat. Recently I've been binge eating more and purging slightly less than usual which is contributing to weight gain which is deteriorating my mood.,negative
"Hi, sorry I have not been active for a very long time. I recently finished all of my finals up at school and returned home to have a surgery done. I am now home from surgery and will be back on track with the program. Or at least I'll try",none
"thanks for your support! it definitely takes time though... i went to the breakdancer's practice last night... and i'm fairly familiar with the community but everyone in it is very trim and fit (well, because they break dance). and i got REALLY self conscious about my body (particularly my belly fat), my really painful pimple + my hair... even though i know they're just people + if they were the kinds of people i wanted to be friends with, they wouldn't care how i looked",mixed
"hey jacqui sorry about the lack of response. mmm is thurs ok? i can't do wed unfortunately. thanks for checking up tho, i really do appreciate it.",mixed
"i found it difficult to implement and... sorry to say this, but inconvenient esp. during finals week",negative
"hi jacqui thanks for the message. i'm free to talk on tuesday at night. hm yah, i guess i'm more interested in the narrative of food as survival and how that has been passed down to me from my mother, with my parents' background as refugees. growing up, i've been raised to eat whatever i got -- not to really discriminate against taste -- and to finish it all. i noticed now that whenever i'm offered food (especially free food), that's what my mind zooms in on, even if i'm not hungry at all. i just think about the free food and eat as if food won't be available to me for the next meal... it's difficult jacqui. and it's been on my mind constantly.",negative
"hi jacqui, thanks for your sentiment i really appreciate it. hmmmm. well i kinda feel like this is a been there, done that kind of talk for them. and i feel like some of them really won't get it -- ya know? like it may just seem really easy to them to just stop eating so much // connecting so much emotions to food (i.e. today i definitely binge ate from the stress of my midterms!!! and now i'm really back at square -1 since i'm a little ashamed of my escapade). i'm also super self conscious because my belly is starting to pop out a LOT more than before and i know that the fat there is actually a health hazard... idk jacqui i just feel like a lot of negative thoughts are consuming me and i'd just like to be light instead of dark in my head",negative
"hi jacqui, sorry about falling off.",negative
"I was wondering if you had any tips on gaining a better connection/ear for listening to your body? Sometimes, despite feeling the fullness in my stomach, I still eat -- only to be left with the negative consequences (uncomfortable stomach, guilt, etc.)... Do you have any tips Jacqui?",negative
is there any way to get the material when i no longer have access?,none
hmmm honestly i didn't really utilize the exposure plan,none
